iter	Passed	Remaining
0	0	37
1	0	36
2	1	37
3	1	35
4	1	33
5	2	33
6	2	32
7	2	32
8	3	31
9	3	30
10	3	29
11	3	28
12	4	27
13	4	27
14	4	27
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	24
21	6	24
22	7	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	19
33	9	19
34	10	19
35	10	18
36	10	18
37	11	17
38	11	17
39	11	17
40	11	16
41	12	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	20	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	23	6
79	24	6
80	24	5
81	25	5
82	25	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
