iter	Passed	Remaining
0	60	59966
1	60	30207
2	60	20231
3	61	15244
4	62	12385
5	62	10393
6	63	8959
7	63	7872
8	63	7033
9	64	6358
10	64	5806
11	65	5362
12	65	4976
13	65	4647
14	66	4360
15	66	4105
16	67	3880
17	67	3684
18	67	3508
19	68	3345
20	68	3199
21	68	3065
22	69	2945
23	69	2832
24	69	2729
25	70	2645
26	70	2558
27	71	2476
28	71	2405
29	72	2333
30	72	2272
31	73	2212
32	73	2159
33	74	2104
34	74	2055
35	75	2011
36	75	1964
37	75	1920
38	76	1876
39	76	1835
40	76	1796
41	77	1758
42	77	1723
43	77	1688
44	78	1656
45	78	1626
46	78	1599
47	79	1571
48	79	1547
49	80	1522
50	80	1497
51	80	1474
52	81	1460
53	82	1438
54	82	1416
55	82	1395
56	83	1374
57	83	1355
58	83	1338
59	84	1321
60	84	1305
61	85	1291
62	85	1276
63	86	1262
64	86	1248
65	87	1235
66	87	1223
67	88	1210
68	88	1196
69	89	1183
70	89	1171
71	89	1157
72	90	1146
73	90	1136
74	91	1124
75	91	1112
76	91	1102
77	92	1091
78	92	1080
79	93	1070
80	93	1059
81	93	1050
82	94	1038
83	94	1029
84	94	1020
85	95	1012
86	95	1004
87	96	996
88	96	988
89	96	980
90	97	972
91	97	965
92	98	959
93	98	951
94	99	944
95	99	936
96	99	929
97	100	922
98	100	914
99	100	908
100	101	902
101	101	897
102	102	890
103	102	883
104	103	878
105	103	873
106	103	867
107	104	860
108	104	854
109	104	848
110	105	842
111	105	836
112	105	830
113	106	825
114	106	819
115	106	813
116	107	807
117	107	802
118	107	797
119	108	792
120	108	787
121	108	782
122	109	778
123	109	773
124	109	769
125	110	764
126	110	759
127	110	755
128	111	751
129	111	746
130	111	742
131	112	738
132	112	733
133	112	729
134	113	726
135	113	722
136	113	718
137	114	714
138	114	710
139	115	707
140	115	704
141	115	700
142	116	696
143	116	694
144	117	690
145	117	687
146	117	684
147	118	681
148	118	678
149	119	675
150	119	673
151	120	671
152	120	668
153	121	665
154	121	662
155	121	659
156	122	657
157	122	654
158	123	652
159	123	649
160	123	645
161	124	642
162	124	639
163	125	637
164	125	634
165	125	632
166	126	629
167	126	627
168	127	624
169	127	621
170	127	619
171	128	617
172	128	615
173	129	613
174	129	610
175	129	607
176	130	606
177	130	604
178	131	601
179	131	599
180	132	597
181	132	595
182	132	592
183	133	591
184	133	589
185	134	587
186	134	585
187	135	584
188	135	582
189	136	580
190	136	578
191	136	576
192	137	574
193	137	572
194	138	570
195	138	568
196	139	566
197	139	564
198	139	563
199	140	561
200	140	558
201	141	557
202	141	555
203	142	554
204	142	553
205	143	551
206	143	549
207	144	548
208	144	546
209	144	545
210	145	543
211	145	541
212	146	539
213	146	537
214	146	536
215	147	534
216	147	532
217	148	531
218	148	529
219	149	528
220	149	527
221	150	525
222	150	524
223	150	521
224	151	520
225	151	518
226	151	517
227	152	516
228	152	514
229	153	513
230	153	512
231	154	510
232	154	509
233	155	507
234	155	506
235	155	504
236	156	503
237	156	501
238	156	499
239	157	498
240	157	496
241	158	494
242	158	493
243	158	491
244	159	490
245	159	488
246	159	487
247	160	485
248	160	484
249	160	482
250	161	481
251	161	479
252	162	478
253	162	476
254	162	475
255	162	473
256	163	472
257	163	470
258	164	469
259	164	468
260	164	466
261	165	465
262	165	463
263	165	462
264	166	460
265	166	459
266	166	457
267	167	456
268	167	455
269	167	454
270	168	452
271	168	451
272	169	450
273	169	449
274	169	447
275	170	446
276	170	444
277	170	443
278	171	441
279	171	440
280	171	439
281	171	437
282	172	436
283	172	435
284	172	433
285	173	432
286	173	430
287	173	429
288	174	428
289	174	426
290	174	425
291	174	424
292	175	422
293	175	421
294	175	420
295	176	418
296	176	417
297	176	416
298	177	415
299	177	413
300	177	412
301	178	411
302	178	410
303	178	409
304	179	408
305	179	406
306	179	405
307	179	404
308	180	403
309	180	401
310	180	400
311	181	399
312	181	398
313	181	397
314	182	396
315	182	394
316	182	393
317	183	392
318	183	391
319	183	390
320	183	389
